,0,1,face
25,21496.jpg,JH,"{'box': [692, 343, 827, 1192], 'confidence': 0.998893678188324, 'keypoints': {'nose': (1440, 1046), 'right_eye': (1424, 803), 'mouth_left': (1217, 1282), 'left_eye': (1161, 814), 'mouth_right': (1409, 1263)}}"
26,21499.jpg,JH,"{'box': [479, 425, 865, 1223], 'confidence': 0.9990111589431763, 'keypoints': {'nose': (1087, 1082), 'right_eye': (1174, 873), 'mouth_left': (847, 1315), 'left_eye': (821, 906), 'mouth_right': (1194, 1290)}}"
29,21801.jpg,JH,"{'box': [767, 331, 862, 1194], 'confidence': 0.9949281215667725, 'keypoints': {'nose': (1056, 959), 'right_eye': (1335, 774), 'mouth_left': (934, 1215), 'left_eye': (944, 744), 'mouth_right': (1225, 1230)}}"
30,21803.jpg,JH,"{'box': [245, 438, 1185, 1631], 'confidence': 0.992771565914154, 'keypoints': {'nose': (599, 1326), 'right_eye': (930, 987), 'mouth_left': (555, 1672), 'left_eye': (449, 1059), 'mouth_right': (882, 1634)}}"
31,21805.jpg,JH,"{'box': [439, 662, 1253, 1616], 'confidence': 0.994441568851471, 'keypoints': {'nose': (1054, 1676), 'right_eye': (1384, 1299), 'mouth_left': (815, 1959), 'left_eye': (781, 1279), 'mouth_right': (1272, 1967)}}"
32,21818.jpg,JH,"{'box': [841, 194, 321, 387], 'confidence': 0.9998341798782349, 'keypoints': {'nose': (946, 427), 'right_eye': (1011, 311), 'mouth_left': (958, 506), 'left_eye': (892, 360), 'mouth_right': (1047, 470)}}"
33,21827.jpg,JH,"{'box': [1299, 153, 147, 225], 'confidence': 0.994687557220459, 'keypoints': {'nose': (1319, 256), 'right_eye': (1365, 226), 'mouth_left': (1330, 314), 'left_eye': (1337, 221), 'mouth_right': (1351, 315)}}"
35,22167.jpg,JH,"{'box': [888, 199, 248, 311], 'confidence': 0.9936116337776184, 'keypoints': {'nose': (962, 338), 'right_eye': (1043, 314), 'mouth_left': (936, 410), 'left_eye': (975, 293), 'mouth_right': (985, 424)}}"
36,22168.jpg,JH,"{'box': [703, 74, 286, 375], 'confidence': 0.9995427131652832, 'keypoints': {'nose': (839, 283), 'right_eye': (879, 196), 'mouth_left': (822, 358), 'left_eye': (774, 240), 'mouth_right': (922, 320)}}"
37,22175.jpg,JH,"{'box': [220, 304, 820, 869], 'confidence': 0.9999849796295166, 'keypoints': {'nose': (541, 924), 'right_eye': (649, 638), 'mouth_left': (614, 1075), 'left_eye': (412, 800), 'mouth_right': (809, 948)}}"
38,22176.jpg,JH,"{'box': [1180, 133, 361, 500], 'confidence': 0.9999783039093018, 'keypoints': {'nose': (1268, 411), 'right_eye': (1410, 342), 'mouth_left': (1223, 513), 'left_eye': (1260, 322), 'mouth_right': (1333, 531)}}"
39,22177.jpg,JH,"{'box': [960, 194, 568, 747], 'confidence': 0.9994210004806519, 'keypoints': {'nose': (1116, 586), 'right_eye': (1343, 552), 'mouth_left': (1001, 680), 'left_eye': (1126, 438), 'mouth_right': (1208, 781)}}"
42,31125.jpg,JH,"{'box': [777, 353, 467, 604], 'confidence': 0.9999401569366455, 'keypoints': {'nose': (1099, 691), 'right_eye': (1172, 569), 'mouth_left': (984, 810), 'left_eye': (959, 568), 'mouth_right': (1152, 807)}}"
43,31127.jpg,JH,"{'box': [551, 255, 373, 498], 'confidence': 0.999997615814209, 'keypoints': {'nose': (906, 555), 'right_eye': (895, 426), 'mouth_left': (794, 647), 'left_eye': (774, 427), 'mouth_right': (889, 643)}}"
44,31128.jpg,JH,"{'box': [501, 146, 307, 368], 'confidence': 0.9999644756317139, 'keypoints': {'nose': (584, 346), 'right_eye': (690, 271), 'mouth_left': (552, 414), 'left_eye': (559, 268), 'mouth_right': (673, 422)}}"
45,31129.jpg,JH,"{'box': [732, 541, 258, 305], 'confidence': 0.9984241724014282, 'keypoints': {'nose': (812, 730), 'right_eye': (871, 624), 'mouth_left': (813, 784), 'left_eye': (767, 652), 'mouth_right': (899, 759)}}"
47,31147.jpg,JH,"{'box': [1018, 269, 499, 563], 'confidence': 0.9989545345306396, 'keypoints': {'nose': (1186, 627), 'right_eye': (1322, 470), 'mouth_left': (1131, 692), 'left_eye': (1108, 472), 'mouth_right': (1341, 689)}}"
48,31148.jpg,JH,"{'box': [373, 221, 470, 561], 'confidence': 0.999963641166687, 'keypoints': {'nose': (598, 557), 'right_eye': (694, 411), 'mouth_left': (529, 656), 'left_eye': (491, 443), 'mouth_right': (711, 626)}}"
49,35777.jpg,JH,"{'box': [604, 577, 254, 306], 'confidence': 0.9520102739334106, 'keypoints': {'nose': (719, 801), 'right_eye': (755, 691), 'mouth_left': (708, 837), 'left_eye': (648, 731), 'mouth_right': (796, 804)}}"
51,35779.jpg,JH,"{'box': [670, 197, 678, 798], 'confidence': 0.999946117401123, 'keypoints': {'nose': (894, 737), 'right_eye': (1011, 476), 'mouth_left': (930, 855), 'left_eye': (781, 574), 'mouth_right': (1124, 763)}}"
52,35780.jpg,JH,"{'box': [955, 233, 471, 641], 'confidence': 0.999716579914093, 'keypoints': {'nose': (1337, 589), 'right_eye': (1361, 461), 'mouth_left': (1209, 729), 'left_eye': (1163, 475), 'mouth_right': (1359, 708)}}"
53,35781.jpg,JH,"{'box': [1005, 123, 498, 703], 'confidence': 0.9940876960754395, 'keypoints': {'nose': (1265, 508), 'right_eye': (1394, 380), 'mouth_left': (1172, 659), 'left_eye': (1143, 369), 'mouth_right': (1361, 673)}}"
54,35782.jpg,JH,"{'box': [723, 237, 466, 598], 'confidence': 0.9969755411148071, 'keypoints': {'nose': (789, 601), 'right_eye': (918, 448), 'mouth_left': (873, 730), 'left_eye': (786, 485), 'mouth_right': (968, 710)}}"
56,35784.jpg,JH,"{'box': [700, 302, 253, 349], 'confidence': 0.9996308088302612, 'keypoints': {'nose': (871, 520), 'right_eye': (904, 422), 'mouth_left': (826, 582), 'left_eye': (789, 440), 'mouth_right': (906, 567)}}"
57,35785.jpg,JH,"{'box': [554, 230, 583, 719], 'confidence': 0.9999924898147583, 'keypoints': {'nose': (743, 632), 'right_eye': (891, 452), 'mouth_left': (719, 787), 'left_eye': (655, 489), 'mouth_right': (883, 766)}}"
58,35786.jpg,JH,"{'box': [199, 251, 1690, 2031], 'confidence': 0.9946158528327942, 'keypoints': {'nose': (893, 1503), 'right_eye': (1155, 956), 'mouth_left': (949, 1942), 'left_eye': (546, 1223), 'mouth_right': (1422, 1715)}}"
59,35787.jpg,JH,"{'box': [703, 161, 547, 750], 'confidence': 0.9922372698783875, 'keypoints': {'nose': (1063, 553), 'right_eye': (1119, 395), 'mouth_left': (981, 749), 'left_eye': (877, 450), 'mouth_right': (1142, 707)}}"
60,35788.jpg,JH,"{'box': [677, 60, 872, 1001], 'confidence': 0.7740010023117065, 'keypoints': {'nose': (1001, 667), 'right_eye': (1131, 384), 'mouth_left': (1077, 827), 'left_eye': (890, 525), 'mouth_right': (1301, 717)}}"
61,35789.jpg,JH,"{'box': [874, 354, 514, 624], 'confidence': 0.9991468191146851, 'keypoints': {'nose': (1078, 749), 'right_eye': (1174, 551), 'mouth_left': (1062, 850), 'left_eye': (974, 594), 'mouth_right': (1217, 813)}}"
62,35790.jpg,JH,"{'box': [763, 72, 733, 854], 'confidence': 0.9970800280570984, 'keypoints': {'nose': (1246, 487), 'right_eye': (1232, 275), 'mouth_left': (1234, 752), 'left_eye': (1000, 469), 'mouth_right': (1382, 595)}}"
63,35791.jpg,JH,"{'box': [841, 308, 513, 628], 'confidence': 0.910140335559845, 'keypoints': {'nose': (1071, 674), 'right_eye': (1157, 494), 'mouth_left': (1031, 807), 'left_eye': (939, 564), 'mouth_right': (1196, 765)}}"
64,35792.jpg,JH,"{'box': [709, 330, 589, 659], 'confidence': 0.9989847540855408, 'keypoints': {'nose': (935, 760), 'right_eye': (1054, 533), 'mouth_left': (916, 872), 'left_eye': (817, 590), 'mouth_right': (1097, 830)}}"
65,35793.jpg,JH,"{'box': [482, 629, 589, 792], 'confidence': 0.9993046522140503, 'keypoints': {'nose': (609, 1114), 'right_eye': (793, 897), 'mouth_left': (618, 1270), 'left_eye': (581, 933), 'mouth_right': (783, 1273)}}"
67,36457.jpg,JH,"{'box': [670, 471, 311, 363], 'confidence': 0.8735533356666565, 'keypoints': {'nose': (882, 692), 'right_eye': (895, 610), 'mouth_left': (845, 779), 'left_eye': (788, 665), 'mouth_right': (932, 727)}}"
68,36458.jpg,JH,"{'box': [954, 296, 399, 487], 'confidence': 0.9991641044616699, 'keypoints': {'nose': (1065, 534), 'right_eye': (1185, 454), 'mouth_left': (1041, 669), 'left_eye': (1048, 458), 'mouth_right': (1130, 669)}}"
70,36465.jpg,JH,"{'box': [537, 134, 541, 742], 'confidence': 0.9950392842292786, 'keypoints': {'nose': (908, 565), 'right_eye': (942, 367), 'mouth_left': (808, 721), 'left_eye': (712, 463), 'mouth_right': (993, 641)}}"
71,38616.jpg,JH,"{'box': [534, 273, 485, 623], 'confidence': 0.9999984502792358, 'keypoints': {'nose': (606, 616), 'right_eye': (783, 493), 'mouth_left': (595, 759), 'left_eye': (619, 472), 'mouth_right': (718, 771)}}"
74,42230.jpg,JH,"{'box': [1073, 250, 390, 519], 'confidence': 0.9998999834060669, 'keypoints': {'nose': (1158, 535), 'right_eye': (1284, 426), 'mouth_left': (1142, 637), 'left_eye': (1126, 434), 'mouth_right': (1276, 637)}}"
75,42231.jpg,JH,"{'box': [875, 826, 205, 283], 'confidence': 0.9999575614929199, 'keypoints': {'nose': (871, 992), 'right_eye': (936, 922), 'mouth_left': (911, 1056), 'left_eye': (893, 932), 'mouth_right': (934, 1045)}}"
76,42237.jpg,JH,"{'box': [473, 219, 440, 557], 'confidence': 0.99489426612854, 'keypoints': {'nose': (566, 451), 'right_eye': (727, 417), 'mouth_left': (530, 575), 'left_eye': (614, 376), 'mouth_right': (606, 611)}}"
77,42250.jpg,JH,"{'box': [387, 788, 1086, 1417], 'confidence': 0.9996205568313599, 'keypoints': {'nose': (675, 1458), 'right_eye': (1026, 1257), 'mouth_left': (660, 1787), 'left_eye': (777, 1200), 'mouth_right': (850, 1817)}}"
78,42252.jpg,JH,"{'box': [915, 190, 375, 451], 'confidence': 0.9999834299087524, 'keypoints': {'nose': (1029, 440), 'right_eye': (1155, 356), 'mouth_left': (972, 499), 'left_eye': (993, 337), 'mouth_right': (1137, 522)}}"
79,42253.jpg,JH,"{'box': [880, 482, 241, 388], 'confidence': 0.9887924790382385, 'keypoints': {'nose': (1103, 670), 'right_eye': (1110, 586), 'mouth_left': (1068, 785), 'left_eye': (1031, 607), 'mouth_right': (1131, 769)}}"
80,44554.jpg,JH,"{'box': [919, 356, 461, 582], 'confidence': 0.9999831914901733, 'keypoints': {'nose': (1008, 664), 'right_eye': (1174, 525), 'mouth_left': (1014, 802), 'left_eye': (990, 540), 'mouth_right': (1163, 789)}}"
81,44555.jpg,JH,"{'box': [591, 400, 439, 623], 'confidence': 0.7907558679580688, 'keypoints': {'nose': (778, 815), 'right_eye': (834, 609), 'mouth_left': (818, 940), 'left_eye': (694, 703), 'mouth_right': (919, 872)}}"
82,44556.jpg,JH,"{'box': [541, 322, 667, 799], 'confidence': 0.9927428960800171, 'keypoints': {'nose': (760, 815), 'right_eye': (960, 627), 'mouth_left': (689, 933), 'left_eye': (688, 621), 'mouth_right': (915, 960)}}"
84,44558.jpg,JH,"{'box': [419, 171, 1029, 1496], 'confidence': 0.9999955892562866, 'keypoints': {'nose': (1403, 1085), 'right_eye': (1388, 763), 'mouth_left': (1037, 1323), 'left_eye': (1109, 748), 'mouth_right': (1291, 1332)}}"
85,44559.jpg,JH,"{'box': [797, 412, 504, 595], 'confidence': 0.9999874830245972, 'keypoints': {'nose': (972, 748), 'right_eye': (1097, 577), 'mouth_left': (951, 862), 'left_eye': (905, 609), 'mouth_right': (1104, 830)}}"
87,44561.jpg,JH,"{'box': [419, 397, 1203, 1392], 'confidence': 0.9999455213546753, 'keypoints': {'nose': (716, 1268), 'right_eye': (986, 828), 'mouth_left': (765, 1518), 'left_eye': (550, 946), 'mouth_right': (1082, 1435)}}"
88,44562.jpg,JH,"{'box': [761, 261, 476, 626], 'confidence': 0.9999613761901855, 'keypoints': {'nose': (745, 577), 'right_eye': (970, 458), 'mouth_left': (786, 747), 'left_eye': (811, 448), 'mouth_right': (933, 761)}}"
89,44563.jpg,JH,"{'box': [906, 269, 391, 514], 'confidence': 0.999488115310669, 'keypoints': {'nose': (1018, 562), 'right_eye': (1123, 424), 'mouth_left': (1016, 663), 'left_eye': (970, 451), 'mouth_right': (1141, 639)}}"
90,44736.jpg,JH,"{'box': [760, 420, 453, 465], 'confidence': 0.9998427629470825, 'keypoints': {'nose': (912, 753), 'right_eye': (956, 569), 'mouth_left': (994, 844), 'left_eye': (845, 691), 'mouth_right': (1080, 746)}}"
91,44740.jpg,JH,"{'box': [1474, 235, 251, 302], 'confidence': 0.9999772310256958, 'keypoints': {'nose': (1526, 420), 'right_eye': (1593, 331), 'mouth_left': (1538, 487), 'left_eye': (1501, 365), 'mouth_right': (1617, 460)}}"
92,44746.jpg,JH,"{'box': [796, 431, 665, 744], 'confidence': 0.999675989151001, 'keypoints': {'nose': (994, 901), 'right_eye': (1083, 665), 'mouth_left': (1094, 1070), 'left_eye': (918, 838), 'mouth_right': (1231, 939)}}"
93,44747.jpg,JH,"{'box': [811, 33, 626, 782], 'confidence': 0.999972939491272, 'keypoints': {'nose': (915, 524), 'right_eye': (1061, 290), 'mouth_left': (1004, 690), 'left_eye': (889, 388), 'mouth_right': (1123, 621)}}"
94,44748.jpg,JH,"{'box': [742, 136, 659, 821], 'confidence': 0.9999674558639526, 'keypoints': {'nose': (827, 615), 'right_eye': (1041, 423), 'mouth_left': (853, 763), 'left_eye': (836, 411), 'mouth_right': (1012, 773)}}"
95,44751.jpg,JH,"{'box': [457, 419, 1092, 1462], 'confidence': 0.9999837875366211, 'keypoints': {'nose': (1335, 1345), 'right_eye': (1462, 985), 'mouth_left': (979, 1555), 'left_eye': (1007, 1011), 'mouth_right': (1357, 1546)}}"
96,44994.jpg,JH,"{'box': [1123, 171, 339, 394], 'confidence': 0.9975878000259399, 'keypoints': {'nose': (1367, 374), 'right_eye': (1353, 280), 'mouth_left': (1328, 479), 'left_eye': (1232, 338), 'mouth_right': (1428, 430)}}"
97,45001.jpg,JH,"{'box': [1157, 281, 342, 504], 'confidence': 0.9999573230743408, 'keypoints': {'nose': (1484, 553), 'right_eye': (1459, 456), 'mouth_left': (1407, 673), 'left_eye': (1359, 475), 'mouth_right': (1479, 658)}}"
100,45020.jpg,JH,"{'box': [872, 711, 310, 383], 'confidence': 0.9977275729179382, 'keypoints': {'nose': (973, 870), 'right_eye': (1091, 858), 'mouth_left': (919, 972), 'left_eye': (963, 837), 'mouth_right': (1012, 992)}}"
102,45024.jpg,JH,"{'box': [1041, 259, 454, 555], 'confidence': 0.9647271037101746, 'keypoints': {'nose': (1189, 443), 'right_eye': (1321, 446), 'mouth_left': (1114, 557), 'left_eye': (1239, 368), 'mouth_right': (1172, 620)}}"
103,45027.jpg,JH,"{'box': [495, 204, 1325, 1810], 'confidence': 0.9998453855514526, 'keypoints': {'nose': (1547, 1292), 'right_eye': (1699, 944), 'mouth_left': (1145, 1604), 'left_eye': (1160, 922), 'mouth_right': (1539, 1617)}}"
105,45031.jpg,JH,"{'box': [501, 149, 669, 789], 'confidence': 0.9983665347099304, 'keypoints': {'nose': (860, 543), 'right_eye': (1003, 471), 'mouth_left': (718, 751), 'left_eye': (708, 447), 'mouth_right': (940, 781)}}"
115,45935.jpg,JH,"{'box': [567, 245, 406, 462], 'confidence': 0.9999276399612427, 'keypoints': {'nose': (693, 541), 'right_eye': (781, 398), 'mouth_left': (696, 628), 'left_eye': (628, 451), 'mouth_right': (824, 588)}}"
116,45936.jpg,JH,"{'box': [515, 639, 326, 405], 'confidence': 0.9999150037765503, 'keypoints': {'nose': (563, 846), 'right_eye': (696, 798), 'mouth_left': (548, 950), 'left_eye': (584, 795), 'mouth_right': (625, 954)}}"
117,45937.jpg,JH,"{'box': [756, 107, 501, 631], 'confidence': 0.9995790123939514, 'keypoints': {'nose': (970, 512), 'right_eye': (1078, 338), 'mouth_left': (924, 610), 'left_eye': (862, 379), 'mouth_right': (1105, 577)}}"
118,45938.jpg,JH,"{'box': [775, 336, 504, 601], 'confidence': 0.9963498115539551, 'keypoints': {'nose': (884, 573), 'right_eye': (1085, 553), 'mouth_left': (818, 739), 'left_eye': (895, 523), 'mouth_right': (967, 768)}}"
119,45939.jpg,JH,"{'box': [927, 895, 223, 274], 'confidence': 0.9999395608901978, 'keypoints': {'nose': (993, 1048), 'right_eye': (1054, 987), 'mouth_left': (984, 1114), 'left_eye': (963, 1005), 'mouth_right': (1052, 1101)}}"
120,45940.jpg,JH,"{'box': [1058, 661, 484, 637], 'confidence': 0.9997542500495911, 'keypoints': {'nose': (1403, 1023), 'right_eye': (1459, 899), 'mouth_left': (1274, 1143), 'left_eye': (1254, 900), 'mouth_right': (1453, 1142)}}"
121,45941.jpg,JH,"{'box': [987, 105, 595, 764], 'confidence': 0.9954061508178711, 'keypoints': {'nose': (1393, 585), 'right_eye': (1438, 389), 'mouth_left': (1326, 733), 'left_eye': (1211, 473), 'mouth_right': (1531, 664)}}"
122,45942.jpg,JH,"{'box': [1072, 204, 388, 499], 'confidence': 0.9999295473098755, 'keypoints': {'nose': (1393, 481), 'right_eye': (1377, 380), 'mouth_left': (1319, 613), 'left_eye': (1237, 421), 'mouth_right': (1420, 577)}}"
123,45943.jpg,JH,"{'box': [578, 479, 868, 1089], 'confidence': 0.9984390139579773, 'keypoints': {'nose': (946, 1089), 'right_eye': (1149, 869), 'mouth_left': (857, 1339), 'left_eye': (764, 916), 'mouth_right': (1134, 1306)}}"
124,45944.jpg,JH,"{'box': [1173, 249, 426, 583], 'confidence': 0.9992268085479736, 'keypoints': {'nose': (1269, 512), 'right_eye': (1428, 491), 'mouth_left': (1213, 633), 'left_eye': (1335, 423), 'mouth_right': (1302, 686)}}"
125,45945.jpg,JH,"{'box': [599, 395, 887, 1043], 'confidence': 0.9961750507354736, 'keypoints': {'nose': (867, 1058), 'right_eye': (1085, 715), 'mouth_left': (943, 1281), 'left_eye': (779, 840), 'mouth_right': (1167, 1206)}}"
129,45949.jpg,JH,"{'box': [1308, 374, 169, 208], 'confidence': 0.9999932050704956, 'keypoints': {'nose': (1347, 495), 'right_eye': (1395, 449), 'mouth_left': (1349, 546), 'left_eye': (1333, 465), 'mouth_right': (1398, 533)}}"
131,45951.jpg,JH,"{'box': [255, 1139, 130, 162], 'confidence': 0.8382561802864075, 'keypoints': {'nose': (298, 1231), 'right_eye': (330, 1196), 'mouth_left': (286, 1264), 'left_eye': (287, 1205), 'mouth_right': (327, 1255)}}"
132,45952.jpg,JH,"{'box': [1065, 150, 220, 285], 'confidence': 0.9997627139091492, 'keypoints': {'nose': (1239, 308), 'right_eye': (1257, 253), 'mouth_left': (1171, 364), 'left_eye': (1164, 257), 'mouth_right': (1257, 358)}}"
133,45953.jpg,JH,"{'box': [1169, 171, 241, 310], 'confidence': 0.9995126724243164, 'keypoints': {'nose': (1243, 322), 'right_eye': (1338, 291), 'mouth_left': (1204, 393), 'left_eye': (1228, 268), 'mouth_right': (1295, 413)}}"
134,45954.jpg,JH,"{'box': [691, 442, 549, 651], 'confidence': 0.9948276877403259, 'keypoints': {'nose': (919, 850), 'right_eye': (1008, 663), 'mouth_left': (904, 972), 'left_eye': (804, 761), 'mouth_right': (1095, 879)}}"
136,48563.jpg,JH,"{'box': [351, 43, 777, 1034], 'confidence': 0.985444962978363, 'keypoints': {'nose': (938, 656), 'right_eye': (972, 371), 'mouth_left': (796, 865), 'left_eye': (662, 475), 'mouth_right': (1025, 788)}}"
140,48581.jpg,JH,"{'box': [662, 550, 1220, 1412], 'confidence': 0.998108983039856, 'keypoints': {'nose': (1011, 1450), 'right_eye': (1235, 974), 'mouth_left': (1172, 1780), 'left_eye': (846, 1242), 'mouth_right': (1439, 1569)}}"
141,48582.jpg,JH,"{'box': [419, 191, 382, 633], 'confidence': 0.9999542236328125, 'keypoints': {'nose': (749, 619), 'right_eye': (760, 490), 'mouth_left': (592, 691), 'left_eye': (679, 453), 'mouth_right': (650, 710)}}"
142,48587.jpg,JH,"{'box': [523, 683, 1169, 1512], 'confidence': 0.9993090629577637, 'keypoints': {'nose': (898, 1595), 'right_eye': (1188, 1133), 'mouth_left': (898, 1919), 'left_eye': (701, 1285), 'mouth_right': (1267, 1796)}}"
143,48814.jpg,JH,"{'box': [582, 583, 701, 898], 'confidence': 0.9993570446968079, 'keypoints': {'nose': (1137, 1132), 'right_eye': (1210, 930), 'mouth_left': (910, 1277), 'left_eye': (937, 938), 'mouth_right': (1137, 1258)}}"
144,48816.jpg,JH,"{'box': [669, 254, 653, 945], 'confidence': 0.9999029636383057, 'keypoints': {'nose': (1208, 830), 'right_eye': (1239, 616), 'mouth_left': (984, 976), 'left_eye': (1028, 614), 'mouth_right': (1160, 967)}}"
147,48824.jpg,JH,"{'box': [710, 513, 927, 1136], 'confidence': 0.9987338185310364, 'keypoints': {'nose': (1406, 1114), 'right_eye': (1368, 826), 'mouth_left': (1252, 1430), 'left_eye': (1026, 1027), 'mouth_right': (1539, 1251)}}"
148,48829.jpg,JH,"{'box': [680, 248, 483, 588], 'confidence': 0.999962329864502, 'keypoints': {'nose': (823, 533), 'right_eye': (949, 393), 'mouth_left': (815, 704), 'left_eye': (753, 465), 'mouth_right': (985, 650)}}"
150,53407.jpg,JH,"{'box': [757, 722, 319, 411], 'confidence': 0.9990853071212769, 'keypoints': {'nose': (983, 944), 'right_eye': (1023, 858), 'mouth_left': (910, 1034), 'left_eye': (883, 882), 'mouth_right': (1032, 1009)}}"
151,53408.jpg,JH,"{'box': [538, 429, 486, 610], 'confidence': 0.9817085266113281, 'keypoints': {'nose': (749, 784), 'right_eye': (829, 619), 'mouth_left': (742, 930), 'left_eye': (642, 699), 'mouth_right': (884, 869)}}"
152,53409.jpg,JH,"{'box': [291, 560, 722, 752], 'confidence': 0.8324421644210815, 'keypoints': {'nose': (705, 1041), 'right_eye': (725, 798), 'mouth_left': (658, 1189), 'left_eye': (498, 940), 'mouth_right': (879, 1073)}}"
153,53410.jpg,JH,"{'box': [389, 183, 656, 731], 'confidence': 0.9967632293701172, 'keypoints': {'nose': (592, 652), 'right_eye': (741, 400), 'mouth_left': (670, 807), 'left_eye': (557, 489), 'mouth_right': (809, 732)}}"
154,53411.jpg,JH,"{'box': [1132, 870, 281, 349], 'confidence': 0.9998894929885864, 'keypoints': {'nose': (1339, 1051), 'right_eye': (1358, 972), 'mouth_left': (1282, 1137), 'left_eye': (1242, 1006), 'mouth_right': (1376, 1111)}}"
